time,Open,High,Low,Close,Volume,Ret_5d,Ret_20d
2013-05-19,115.5,123.88,115.5,120.5,0.0,-0.10938654841093876,
2013-05-23,122.58,125.75,122.58,125.75,0.0,0.3817162949126469,
2013-05-27,131.7,134.6,128.99,128.99,0.0,0.21231203007518795,
2013-05-31,129.18,132.13,127.4,127.98,0.0,0.13246615343774892,
2013-06-03,129.09,129.09,121.16,121.16,0.0,0.06131744919411353,
2013-06-07,121.31,121.71,119.0,119.0,0.0,-0.012448132780082943,
2013-06-11,110.09,110.09,99.75,105.99,0.0,-0.15713717693836982,
2013-06-15,108.9,108.9,98.4,98.4,0.0,-0.23715016667958755,
2013-06-19,99.99,106.55,99.99,106.55,0.0,-0.16744803875605563,
2013-06-23,107.9,110.91,107.25,107.25,0.0,-0.11480686695278963,
2013-06-27,108.0,108.0,102.44,103.39,0.0,-0.13117647058823534,
2013-06-30,99.66,99.66,93.33,95.39,0.0,-0.10000943485234448,
2013-07-03,97.5,97.5,89.49,90.8,0.0,-0.07723577235772361,
2013-07-07,78.8,78.8,67.81,68.08,0.0,-0.36105114969497887,
2013-07-11,77.5,85.75,76.39,85.75,0.0,-0.20046620046620045,
2013-07-15,93.8,95.58,88.06,94.0,0.0,-0.09082116258825801,-0.3052475979305248
2013-07-19,97.3,98.98,88.79,88.79,0.0,-0.06918964252018023,-0.02439292385452152
2013-07-23,91.57,91.7,89.28,91.7,0.0,0.009911894273127775,-0.13815789473684215
2013-07-27,94.58,96.95,94.13,94.13,0.0,0.38263807285546414,-0.16706486151667999
2013-07-31,94.01,110.34,94.01,110.34,0.0,0.2867638483965016,-0.03346180798878762
2013-08-03,106.23,106.23,101.61,103.7,0.0,0.10319148936170208,-0.1394190871369294
2013-08-07,104.86,106.75,104.86,106.75,0.0,0.20227503097195632,-0.15109343936381714
2013-08-11,101.67,103.77,101.67,103.77,0.0,0.1316248636859323,-0.1955190324831383
2013-08-15,105.18,111.87,105.18,111.87,0.0,0.18846276426219077,-0.12587904360056257
2013-08-19,109.87,118.78,109.87,118.78,0.0,0.0764908464745333,-0.019643446682073296
2013-08-23,120.5,122.5,120.0,120.0,0.0,0.15718418514946952,0.008403361344537785
2013-08-27,120.44,125.67,120.44,125.67,0.0,0.17723653395784544,0.1856778941409567
2013-08-31,123.02,137.76,123.02,137.76,0.0,0.32755131540907767,0.3999999999999999
2013-09-03,138.17,138.17,137.17,137.51,0.0,0.22919460087601662,0.29056780854059117
2013-09-07,135.21,135.21,123.73,123.73,0.0,0.041673682438120974,0.1536596736596736
2013-09-11,121.77,131.65,121.77,131.65,0.0,0.09708333333333341,0.27333397814101956
2013-09-15,134.22,135.05,129.95,129.95,0.0,0.034057452056974524,0.3623021281056713
2013-09-19,131.48,132.06,130.23,130.23,0.0,-0.05466027874564461,0.43425110132158573
2013-09-23,128.57,128.57,126.73,126.73,0.0,-0.07839429859646563,0.8614864864864866
2013-09-27,126.09,131.84,126.09,131.84,0.0,0.06554594681968795,0.5374927113702623
2013-09-30,133.93,140.28,131.65,131.65,0.0,0.0,0.40053191489361706
2013-10-03,132.55,132.55,123.07,123.07,0.0,-0.05294343978453253,0.3860795134587227
2013-10-07,128.26,129.57,127.56,128.38,0.0,-0.014205636182139214,0.3999999999999999
2013-10-11,125.72,130.9,125.72,130.27,0.0,0.027933401720192652,0.38393710825454175
2013-10-15,135.35,143.89,135.35,143.89,0.0,0.09139866504854366,0.3040601776327714
2013-10-19,143.61,170.51,143.61,170.51,0.0,0.2951766046334978,0.644262295081967
2013-10-23,172.01,206.78,172.01,206.78,0.0,0.680182010238076,0.9370491803278689
2013-10-27,198.8,198.8,172.48,189.83,0.0,0.47865711169964187,0.8293341042690567
2013-10-31,198.55,204.39,198.55,203.88,0.0,0.5650571889153295,0.8224725127379993
2013-11-03,205.26,212.45,205.26,212.45,0.0,0.4764750851344779,0.7886007745411685
2013-11-07,226.28,295.63,226.28,295.63,0.0,0.7337986041874378,1.4635833333333332
2013-11-11,332.02,358.0,313.0,340.55,0.0,0.6469194312796209,1.7098750696268006
2013-11-15,355.48,424.16,355.48,424.16,0.0,1.2344202707685823,2.0789779326364695
2013-11-19,437.41,614.4,437.41,614.4,0.0,2.013537374926427,3.4680386880954117
2013-11-23,565.34,819.31,565.34,819.31,0.0,2.856483878559661,5.6217570516447095
2013-11-27,764.43,914.13,764.43,914.13,0.0,2.0921422047830056,5.943638435244967
2013-11-30,979.08,1127.45,979.08,1127.45,0.0,2.3106739098517104,7.6760292420161615
2013-12-03,1033.39,1078.64,974.03,1078.64,0.0,1.5430026405130142,7.282576979190663
2013-12-07,1121.48,1121.48,811.98,811.98,0.0,0.3215820312500002,5.407164838633315
2013-12-11,743.11,927.78,743.11,887.08,0.0,0.08271594390401682,5.728458737864078
2013-12-15,878.17,897.27,854.62,854.62,0.0,-0.06510014986927459,5.491606532472464
2013-12-19,789.15,789.15,559.36,677.84,0.0,-0.3987848685085813,4.507759811489397
2013-12-23,694.25,694.25,596.12,645.75,0.0,-0.40132945190239566,4.029989094874591
2013-12-27,659.94,734.59,659.94,734.27,62881800.0,-0.09570432769280035,4.6365241421662695
2013-12-31,738.81,760.52,726.47,755.16,21903500.0,-0.14871263020246206,4.248175689763014
2014-01-03,767.74,825.47,767.74,825.47,54171500.0,-0.03410872668554443,3.8411823353469012
2014-01-07,849.14,936.38,826.5,826.5,80268100.0,0.2193142924583973,2.9970016442595995
2014-01-11,838.32,905.72,838.32,905.72,48299500.0,0.4025861401471158,3.77121635147237
2014-01-15,867.45,867.45,838.05,860.44,28600400.0,0.17183052555599443,3.220325681773593
2014-01-19,837.98,840.0,812.9,838.17,17574100.0,0.10992372477355783,2.9452577076959283
2014-01-23,869.15,869.57,846.97,846.97,18412100.0,0.02604576786557966,1.8649663430639651
2014-01-27,808.32,891.86,804.39,891.86,32539200.0,0.07908045977011491,1.6188812215533694
2014-01-31,777.0,817.93,777.0,817.93,31107400.0,-0.09692841054630574,0.928352508487363
2014-02-03,832.52,836.41,813.38,813.38,12759200.0,-0.0546929477941519,0.32386067708333344
2014-02-07,832.36,832.36,721.32,721.32,65733100.0,-0.13941085937220365,-0.11960063956255862
2014-02-11,701.61,701.61,672.07,697.76,121884000.0,-0.17616916773911717,-0.23669499961712226
2014-02-15,655.26,655.26,623.57,644.1,57350800.0,-0.27780144865786105,-0.4287108075746153
2014-02-19,613.85,645.14,613.85,620.99,13276100.0,-0.24077855073172516,-0.4242842839130758
2014-02-23,593.89,622.97,571.06,622.97,44590700.0,-0.2340972239297745,-0.23277666937609298
2014-02-27,572.39,586.28,489.31,586.28,38219000.0,-0.18721233294515616,-0.3390900482481851
2014-02-28,567.2,585.79,560.11,585.79,24649000.0,-0.16047064893373086,-0.3145608574571155
2014-03-07,675.0,675.0,617.62,617.62,29823000.0,-0.0411116286290949,-0.08884102443054409
2014-03-11,610.37,636.17,610.37,624.23,12542300.0,0.005217475321663834,-0.03332559039876115
2014-03-15,638.07,639.03,629.67,638.07,5963930.0,0.02423872738655164,-0.13101447696351465
2014-03-19,629.55,629.55,610.64,610.64,15227500.0,0.04155011257419661,-0.191376661899465
2014-03-23,592.07,592.07,561.22,567.78,10283000.0,-0.03074480615920383,-0.31217367075726565
2014-03-27,571.42,584.44,567.64,567.64,22316700.0,-0.0809235452219812,-0.313200241984271
2014-03-31,503.66,503.66,457.4,457.4,56838500.0,-0.26725726094548485,-0.4949874133286226
2014-04-03,478.72,478.72,437.52,447.08,40765500.0,-0.2993245255222782,-0.4804053739947004
2014-04-07,448.88,464.83,448.88,457.79,9802770.0,-0.25031114895846973,-0.453822017013255
2014-04-11,450.46,450.46,360.84,420.06,62562800.0,-0.2601711930677375,-0.504043826817951
