Date,Open,High,Low,Close,Volume,Ret_5d,Ret_20d,ma
2013-12-27,659.94,734.59,659.94,734.27,62881800.0,-0.0957043276928003,4.6365241421662695,567.6575
2013-12-31,738.81,760.52,726.47,755.16,21903500.0,-0.148712630202462,4.248175689763014,598.221
2014-01-03,767.74,825.47,767.74,825.47,54171500.0,-0.0341087266855444,3.841182335346901,630.9689999999999
2014-01-07,849.14,936.38,826.5,826.5,80268100.0,0.2193142924583973,2.9970016442595995,661.9549999999999
2014-01-11,838.32,905.72,838.32,905.72,48299500.0,0.4025861401471158,3.77121635147237,697.7495
2014-01-15,867.45,867.45,838.05,860.44,28600400.0,0.1718305255559944,3.220325681773593,730.5775
2014-01-19,837.98,840.0,812.9,838.17,17574100.0,0.1099237247735578,2.9452577076959283,761.8634999999999
2014-01-23,869.15,869.57,846.97,846.97,18412100.0,0.0260457678655796,1.8649663430639647,789.4305
2014-01-27,808.32,891.86,804.39,891.86,32539200.0,0.0790804597701149,1.6188812215533694,816.9960000000001
2014-01-31,777.0,817.93,777.0,817.93,31107400.0,-0.0969284105463057,0.928352508487363,836.6845
2014-02-03,832.52,836.41,813.38,813.38,12759200.0,-0.0546929477941519,0.3238606770833334,846.6334999999999
2014-02-07,832.36,832.36,721.32,721.32,65733100.0,-0.1394108593722036,-0.1196006395625586,841.734
2014-02-11,701.61,701.61,672.07,697.76,121884000.0,-0.1761691677391171,-0.2366949996171222,830.9155000000001
2014-02-15,655.26,655.26,623.57,644.1,57350800.0,-0.277801448657861,-0.4287108075746153,806.748
2014-02-19,613.85,645.14,613.85,620.99,13276100.0,-0.2407785507317251,-0.4242842839130758,783.8655000000001
2014-02-23,593.89,622.97,571.06,622.97,44590700.0,-0.2340972239297745,-0.2327766693760929,774.415
2014-02-27,572.39,586.28,489.31,586.28,38219000.0,-0.1872123329451561,-0.3390900482481851,759.375
2014-02-28,567.2,585.79,560.11,585.79,24649000.0,-0.1604706489337308,-0.3145608574571155,745.9335
2014-03-07,675.0,675.0,617.62,617.62,29823000.0,-0.0411116286290949,-0.088841024430544,742.9225
2014-03-11,610.37,636.17,610.37,624.23,12542300.0,0.0052174753216638,-0.0333255903987611,741.8465
